550	174	496	159
353	169	289	154
906	372	850	347
584	268	541	254
727	252	672	235
241	353	177	348
285	362	228	357
91	274	10	269
329	89	264	70
259	315	193	308
737	260	683	243
894	324	840	302
479	170	330	157
568	108	514	92
412	587	431	587
825	149	765	134
741	182	686	166
790	365	743	344
926	374	867	349
255	310	189	303
110	370	34	372
869	431	826	405
44	115	293	309
866	335	814	315
733	182	678	166
118	367	42	369
353	343	296	335
908	317	851	296
904	391	849	365
489	627	519	622
428	348	382	338
659	361	618	344
860	369	810	345
931	396	873	370
415	280	367	269
595	542	599	528
425	280	378	269
451	175	394	160
752	128	697	112
326	348	267	340
326	348	267	340
326	348	267	340
326	348	267	340
828	69	769	56
303	554	333	562
295	557	326	566
442	175	385	160
363	49	798	551
542	273	498	258
599	226	513	210
909	311	853	290
457	174	401	159
725	175	670	159
534	181	481	165
867	394	816	369
706	143	455	129
604	357	563	341
783	389	737	366
520	353	477	340
527	218	473	203
527	218	473	203
736	178	681	162
736	178	681	162
901	492	871	462
630	176	577	160
254	112	181	94
556	68	503	52
967	243	901	228
739	72	684	59
284	178	215	163
549	354	507	340
574	80	521	64
525	76	471	59
591	231	504	216
731	256	681	162
250	337	186	332
74	511	22	529
737	77	682	63
942	344	882	320
209	366	145	364
957	270	892	249
476	83	421	66
564	149	511	133
327	351	268	344
252	344	188	339
659	356	618	339
937	355	878	330
937	355	878	330
363	387	318	381
954	352	893	327
286	327	223	320
191	366	125	365
833	340	778	318
667	144	614	129
864	345	813	323
728	34	798	551
357	181	295	167
386	147	325	131
118	68	33	44
587	144	534	129
587	144	534	129
587	144	534	129
948	331	887	307
165	366	95	365
520	76	466	58
914	282	854	262
914	282	854	262
869	362	818	338
731	93	676	79
953	312	891	290
876	277	825	257
876	277	825	257
254	273	187	265
271	93	200	74
458	281	413	269
569	144	515	129
250	454	231	458
958	262	893	242
799	391	752	369
419	146	455	129
419	146	455	129
939	270	877	250
956	300	896	278
374	275	313	264
544	65	492	48
544	65	492	48
435	97	196	86
366	275	304	264
574	285	532	271
920	283	859	262
930	560	913	524
424	150	557	132
608	503	602	487
273	279	206	296
953	359	892	333
440	619	467	617
863	275	800	256
453	254	403	241
375	152	313	136
439	96	381	79
940	350	880	326
911	308	796	321
267	104	196	86
614	265	568	250
471	149	415	133
934	374	875	349
890	311	788	316
540	60	488	43
744	72	689	58
733	240	678	223
733	240	678	223
813	177	754	161
496	362	453	350
936	378	877	352
859	335	796	321
949	389	889	361
510	145	455	129
510	145	455	129
510	145	455	129
182	356	114	354
456	389	416	379
884	289	831	269
878	293	826	272
362	275	300	265
362	275	300	265
292	118	223	100
898	392	844	367
361	271	299	260
361	271	299	260
286	327	223	320
337	372	286	365
903	303	788	316
